experiment,optimizer,epoch,train_loss,train_loss_std_err,train_accuracy,train_accuracy_std_err,train_f1_score,train_f1_score_std_err,train_auc,train_auc_std_err
vgg11_cifar10,ADEMAMIX,10,0.4308399048767837,0.024941429766509,86.6959477124183,0.9993124724401464,0.8658993128851952,0.01044955012719,0.9889646473856276,0.0013311285045612
vgg11_cifar10,MILO,10,0.0373525668499126,0.0051786505816481,98.71267973856207,0.1760442198593657,0.9871031858895312,0.001774438758656,0.9999497141166984,1.1727759268046752e-05
vgg11_cifar10,MILO_LW,10,0.0220906840827876,0.0045971495232488,99.26169934640522,0.1708824248128356,0.9926242351961476,0.0017082045985006,0.9999765595659096,8.290011010092244e-06
vgg11_cifar10,NOVOGRAD,10,0.0797263809872219,0.0057400757759855,97.81333333333332,0.2354953387954566,0.9781901957239024,0.0023491392060934,0.9997277544574382,4.041454562433136e-05
vgg11_cifar10,SGD,10,0.1040351181179869,0.0116557189089981,97.08026143790848,0.4736252040034571,0.970791818639234,0.0047544375897265,0.99953058571113,8.75342250384063e-05
vgg11_cifar100,ADAGRAD,10,0.632191885422102,0.011909454838018,86.86588235294118,0.4028268686360083,0.8667744247481488,0.0041676898874266,0.9985991188858666,6.306660423460951e-05
vgg11_cifar100,ADAMW,10,1.95452587196749,0.0437707192309943,44.02666666666666,1.1633159697402091,0.4262088508749379,0.0124451922431781,0.9704885173357264,0.0014522955569695
vgg11_cifar100,ADAM_MINI,10,2.610840543619792,0.0832284126415093,29.566535947712417,1.691096596263493,0.269727264905489,0.0164477799496561,0.939430234383783,0.0053167704877899
vgg11_cifar100,ADEMAMIX,10,2.636399885175119,0.0350753667994065,27.714509803921565,0.7990208882997611,0.240534553249768,0.0067610769467865,0.9409369346190136,0.0018045990293961
vgg11_cifar100,MILO,10,0.3244618576705845,0.0398569602669717,90.41882352941175,1.5186066896755364,0.9032369221395112,0.0155505673359718,0.9995260775127566,0.0001219516478256
vgg11_cifar100,MILO_LW,10,0.2809874031736959,0.0224388831111899,92.41150326797386,0.7978477606468051,0.9235405319718848,0.0081891184648892,0.9996482876624088,5.889112273873104e-05
vgg11_cifar100,NOVOGRAD,10,1.0973054916157443,0.0141275168209463,68.59712418300653,0.4301520464116931,0.6767546213317142,0.0041543533977507,0.9932319552470906,0.0002367295690173
vgg11_cifar100,SGD,10,1.5130819929658978,0.0390261417354415,55.83633986928104,1.1472527553320702,0.5467852144124465,0.0122500039938454,0.9867483950577618,0.0009216133112596
