epoch,layer,epoch_mean_update,epoch_std_update,optimizer,run
3,linear,0.002677855028999812,0.000178897341240126,MILO,1
4,linear,0.0022685786080254987,0.000116710705705084,MILO,1
5,linear,0.0020073949124998795,8.745339250599345e-05,MILO,1
1,conv1,0.004491916856252992,0.0038230365810937045,MILO_LW,1
2,conv1,0.0019884327077212597,0.0002010513167444006,MILO_LW,1
3,conv1,0.001527001184691778,9.10825842175584e-05,MILO_LW,1
4,conv1,0.0012898908739484311,5.6037312964155465e-05,MILO_LW,1
5,conv1,0.0011388984403775915,4.065704218314629e-05,MILO_LW,1
1,bn1,0.0012417412897226037,0.0010360633396772861,MILO_LW,1
2,bn1,0.0005464655903704215,5.704563174338991e-05,MILO_LW,1
3,bn1,0.0004184866568399523,2.5386904126321127e-05,MILO_LW,1
4,bn1,0.00035299731188387584,1.5243199551806516e-05,MILO_LW,1
5,bn1,0.00031148099922576224,1.1099487124116667e-05,MILO_LW,1
1,layer1,0.05145044846445424,0.04302892738925141,MILO_LW,1
2,layer1,0.022738179718957263,0.002275010170068032,MILO_LW,1
3,layer1,0.017454201676659852,0.001021285805716104,MILO_LW,1
4,layer1,0.014703108098135723,0.0006128158837771456,MILO_LW,1
5,layer1,0.012957109367886284,0.0004199477664878731,MILO_LW,1
1,layer2,0.11492936013342589,0.09615351789693213,MILO_LW,1
2,layer2,0.05145319967275738,0.0051041721814857775,MILO_LW,1
3,layer2,0.03949029207869431,0.002341480823189773,MILO_LW,1
4,layer2,0.03325290819865911,0.0013898947249305548,MILO_LW,1
5,layer2,0.02928772744603872,0.0009656159382704017,MILO_LW,1
1,layer3,0.2824190186404822,0.23486415192820978,MILO_LW,1
2,layer3,0.12932501701808016,0.01287002079464639,MILO_LW,1
3,layer3,0.09930356871490115,0.0059808077742159,MILO_LW,1
4,layer3,0.08360397412235618,0.003563720240321932,MILO_LW,1
5,layer3,0.07362264798943738,0.002441917974343353,MILO_LW,1
1,layer4,0.38436558521923625,0.32431256635413724,MILO_LW,1
2,layer4,0.17594325509603198,0.017313967504529935,MILO_LW,1
3,layer4,0.13610754351259804,0.008055005087415556,MILO_LW,1
4,layer4,0.11535382129328478,0.004898808695544181,MILO_LW,1
5,layer4,0.10211320781867915,0.003246299536257767,MILO_LW,1
1,linear,0.007679776675939485,0.0065000511500515,MILO_LW,1
2,linear,0.0034692785184926274,0.0003542791580252112,MILO_LW,1
3,linear,0.0026699441233957242,0.00016898058473575084,MILO_LW,1
4,linear,0.0022534405786343746,0.00011173879535446181,MILO_LW,1
5,linear,0.0019905103288050258,8.173149988966492e-05,MILO_LW,1
1,conv1,0.003301257299389017,0.0009180997947617318,SGD,1
2,conv1,0.003535630501763481,0.0006052269140790543,SGD,1
3,conv1,0.004071409039448587,0.0006805261317245409,SGD,1
4,conv1,0.00430167261347248,0.0007238249391570649,SGD,1
5,conv1,0.004620859815449923,0.000796806082043215,SGD,1
1,bn1,0.00035062063899667095,9.376147202838236e-05,SGD,1
2,bn1,0.00032967746202408263,3.794652315049856e-05,SGD,1
3,bn1,0.00033529824992175884,3.740858342719778e-05,SGD,1
4,bn1,0.00033756800265198665,3.784142024105601e-05,SGD,1
5,bn1,0.0003507538713231027,4.607847533548964e-05,SGD,1
1,layer1,0.016419879252154664,0.004407155193592135,SGD,1
2,layer1,0.013623548385470358,0.000809336946998307,SGD,1
3,layer1,0.013160388736701143,0.0008767172254512327,SGD,1
4,layer1,0.013587647668304786,0.0010932706514627832,SGD,1
5,layer1,0.014081421661262953,0.001539167945831484,SGD,1
1,layer2,0.016399619289585936,0.001974487874654933,SGD,1
2,layer2,0.015211337726305042,0.0006728382683255135,SGD,1
3,layer2,0.015731367142944205,0.0010886594181192459,SGD,1
4,layer2,0.017856996631649507,0.0016044608921780864,SGD,1
5,layer2,0.019612542656279704,0.0024257303060814845,SGD,1
1,layer3,0.015952038705736422,0.0007093298940542735,SGD,1
2,layer3,0.017837599427825406,0.0008833349629110065,SGD,1
3,layer3,0.01978171325076971,0.001537169043395687,SGD,1
4,layer3,0.0237065660698048,0.00242613213276938,SGD,1
5,layer3,0.027467613868865117,0.0035937843845362436,SGD,1
1,layer4,0.010195415142920121,0.0006434175932488744,SGD,1
2,layer4,0.010224341710123593,0.0004947091989627183,SGD,1
3,layer4,0.010862259415182374,0.0006971715558803869,SGD,1
4,layer4,0.012048078671157874,0.001150294501909085,SGD,1
5,layer4,0.0132852528733539,0.001641260693857471,SGD,1
